mid,smiles,ref_smiles,IsValid,QED,SAs,GSK3,IsNovel,IsSuccess
99,COc1cccc(Nc2ccnc(Nc3ccc(C)c(C)c3)n2)c1,0,True,0.72,1.99,0.72,True,True
100,CCOc1cccc(-c2c[nH]c3ncnc(N)c23)c1,0,True,0.75,2.28,0.66,True,True
101,COC1CN(c2cc(NCc3ccccc3)n3ncc(C#N)c3n2)CC1F,0,True,0.75,3.51,0.36,True,False
102,CCOc1ccc(Nc2ccnc(Nc3ccc(Cl)c(Cl)c3)n2)cc1,0,True,0.58,2.02,0.73,False,False
103,N#Cc1ccc(CNc2nc(Nc3cnn(CCO)c3)ncc2Br)cc1F,0,True,0.53,2.7,0.56,True,False
104,CC1CN(c2nc(Nc3ccc4n[nH]nc4c3)ncc2F)CCO1,0,True,0.76,3.12,0.46,True,False
105,COc1ccc(Nc2nccc(Nc3ccccc3C#N)n2)c(OC)c1,0,True,0.7,2.21,0.54,True,True
106,CNC(=O)c1ccc(Nc2ncc3c(n2)CCN(c2c(F)cc(F)cc2F)C3)cc1,0,True,0.68,2.48,0.56,True,True
107,Cc1cccc(Nc2ccnc(Nc3ccc(O)cc3)n2)c1,0,True,0.63,1.98,0.7,True,True
108,CC(=O)Nc1ccc(C2=CC(=C3C(=O)Nc4ccc(F)cc43)OC2(C)C)cc1,0,True,0.76,2.61,0.57,True,True
109,CN1CCC(c2ccc3c(c2)NC(=O)c2cnc(Nc4ccc(N)c(C#N)c4)nc2-3)CC1,0,True,0.34,2.82,0.49,True,False
110,Cc1[nH]c(C=C2C(=O)Nc3ccc(C(F)(F)F)cc32)c(C)c1C(=O)O,0,True,0.72,2.62,0.72,True,True
111,Cc1cc(F)c(Nc2nccc(-c3cccc(C#N)c3)n2)cc1F,0,True,0.78,2.3,0.65,True,True
112,CN(C)c1ncnc2[nH]ccc12,0,True,0.68,2.57,0.66,False,True
113,CC1(CO)CNc2c(-c3ccnc(Nc4cc(F)ccc4F)n3)cnn21,0,True,0.66,3.6,0.57,True,True
114,CN1CCCC1CNC(=O)c1cccc(-c2cnc3[nH]cc(-c4ccncc4)c3c2)c1,0,True,0.52,2.92,0.55,True,False
115,CC(=O)Nc1ccc(Nc2cc(NC3CC3)c(C(N)=O)cn2)cc1,0,True,0.65,2.14,0.31,True,False
116,Cn1nccc1Nc1nccc(-c2cnc3c(c2)CCN3C(=O)Cc2cccnc2)n1,0,True,0.54,2.86,0.69,False,False
117,Cn1cc(Nc2ncc(Cl)c(NCC3CCCN4CCCCC34)n2)cn1,0,True,0.84,3.41,0.66,True,True
118,O=C(NCCc1ccccc1)c1ccc(Nc2ccnc(Nc3ccc(F)cc3)n2)cc1,0,True,0.37,2.03,0.66,True,False
119,COc1ccc(Nc2nccc(NCCCN3CCOCC3)n2)cc1Cl,0,True,0.68,2.24,0.62,True,True
120,Cc1ccc(-c2ccnc(NC3CC3)n2)cc1F,0,True,0.9,2.03,0.68,False,True
121,Nc1nccc(-c2c[nH]c3cc(F)ccc23)n1,0,True,0.67,2.28,0.79,False,True
122,Cc1ccc(C(=O)NC2CC2)cc1-c1ccc2nc(NCCN3CCOCC3)ncc2c1,0,True,0.6,2.4,0.26,True,False
123,CC(C)c1cc(Nc2nccc(-c3ccc(F)cc3)n2)ccn1,0,True,0.77,2.17,0.92,True,True
124,Cn1cc(C2=C(c3c[nH]c4ccccc34)C(=O)NC2=O)c2ccccc21,0,True,0.55,2.38,0.93,True,False
125,CCN1CCC(CC(=O)Nc2n[nH]c3nc(-c4ccco4)c(Br)cc23)CC1,0,True,0.64,2.82,0.79,True,True
126,COc1cc(OC)c2c(N)c(-c3ncc(F)cc3F)[nH]c2c1,0,True,0.78,2.72,0.33,True,False
127,CC(=O)NCC1CN(c2ccc(-c3ccnc4[nH]c(C5=CCCC5)cc34)cc2F)CCN1,0,True,0.57,3.43,0.4,True,False
128,CNc1nc(Nc2ccc(Oc3ccccc3)cc2)ncc1C(F)(F)F,0,True,0.66,2.13,0.76,True,True
129,NC1CCC(C(=O)N2CC=C(c3c[nH]c4ncccc34)CC2)CC1,0,True,0.89,2.65,0.72,True,True
130,COc1cc(Nc2ncc(F)c(Nc3ccc(F)c(C)c3)n2)cc(C(N)=O)c1,0,True,0.6,2.34,0.69,True,False
131,CCN1CCC(N(C)C(=O)c2ccnc3nc(-c4ccc(F)cc4)[nH]c23)C1,0,True,0.77,2.98,0.68,True,True
132,CC(c1ccccc1F)n1c(=O)ccc2cnc(Nc3ccc(N4CCN(C)CC4)cc3)nc21,0,True,0.49,2.97,0.75,True,False
133,O=C(Nc1cc(-c2ccncc2)[nH]n1)Nc1ccccc1,0,True,0.69,2.04,0.39,True,False
134,N#Cc1ccc(Nc2ncc(F)c(NC3CC3)n2)cc1,0,True,0.89,2.21,0.79,True,True
135,COc1ccc(Nc2nccc(Nc3ccc(C)cc3C)n2)cc1OC,0,True,0.68,2.05,0.67,True,True
136,N#CCNC(=O)c1ccc(-c2cnc3[nH]cc(C=CC=O)c3c2)cc1,0,True,0.43,2.68,0.54,True,False
137,CC(C)C1CCC(Oc2cccc3cnc(Nc4ccc(S(N)(=O)=O)cc4)nc23)CC1,0,True,0.58,2.5,0.59,True,False
138,O=C(NCCCN1CCC(O)CC1)c1ccnc2nc(-c3ccsc3)[nH]c12,0,True,0.57,2.65,0.66,True,False
139,Cc1ccc(-c2c[nH]c3nccc(N)c23)cc1F,0,True,0.69,2.4,0.66,True,True
140,COc1ccc(CCN2CCN(c3nc(-c4ccncc4)cc(=O)n3C)CC2)cc1,0,True,0.63,2.25,0.52,True,True
141,CCN1CCC(C2NCCc3cc(Cl)c(O)cc32)CC1,0,True,0.88,3.04,0.03,True,False
142,CNc1nccc(-c2c[nH]c3ncc(C=CC(N)=O)cc23)n1,0,True,0.63,2.79,0.68,True,True
143,COc1ccccc1C1CNCCc2c1cc(-c1cccc(N)c1)c1c2C(=O)NC1=O,0,True,0.45,3.18,0.43,True,False
144,Cc1cc(Nc2ncc(F)c(NC3CC4CCCN4C3)n2)cc2c1OCC(=O)N2C,0,True,0.8,3.64,0.72,True,True
145,COc1cc(-c2cnc3[nH]cc(-c4ccncc4)c3c2)ccc1O,0,True,0.6,2.28,0.76,True,False
146,N#Cc1ccc(Nc2nccc(C(=O)NCc3cccc(C(F)(F)F)c3)n2)cc1,0,True,0.68,2.24,0.52,True,True
147,CCc1cnc(NC2CCC(C(=O)OC)CC2)nc1-c1c[nH]c2ccccc12,0,True,0.65,2.52,0.4,True,False
148,Cc1nc(-c2c[nH]c3ncc(-c4ccc(N5CCN(C)CC5)cc4)cc23)n[nH]1,0,True,0.58,2.53,0.54,True,False
149,N#CCC(C1CCCC1)n1cc(-c2ncnc3[nH]ccc23)cn1,0,True,0.8,3.4,0.76,False,True
150,CC1(c2nc(-c3cccc(C(F)F)c3)c(-c3ccnc(NC4CC4)n3)[nH]2)CCNCC1,0,True,0.54,3.08,0.71,True,False
151,Cc1ncc(-c2nc(Nc3ccc(C(=O)N4CCC(F)(F)C4)cc3)ncc2F)n1C1CCOCC1,0,True,0.58,2.98,0.56,False,False
152,c1ccc(Nc2nccc(N3CCCC3)n2)cc1,0,True,0.9,1.84,0.58,True,True
153,COc1cc(Nc2nc(Nc3cnn(C)c3)ncc2Cl)cc(OC)c1,0,True,0.7,2.42,0.7,True,True
154,CC1CCN(c2nc(Nc3cccc(F)c3)ncc2C(F)(F)F)CC1,0,True,0.82,2.37,0.54,True,True
155,CC(=O)c1ccc(Nc2nccc(C(=O)NCc3ccc(C#N)cc3)n2)cc1,0,True,0.64,2.13,0.46,True,False
156,C=CC=C(c1cc(Cl)ccc1O)c1ccc2c(N)n[nH]c2c1,0,True,0.64,2.78,0.49,True,False
157,Cc1cccc(Nc2nccc(C(=O)Nc3cccc(F)c3)n2)c1,0,True,0.76,1.95,0.55,True,True
158,C=CCNC(=O)c1cnc(Nc2ccc(N3CCN(C)CC3)cc2)nc1Nc1cccc(F)c1,0,True,0.44,2.46,0.71,True,False
159,O=S1(=O)c2ccccc2CN1CC=CCN1CC=C(c2c[nH]c3ccc(F)cc23)CC1,0,True,0.61,3.13,0.29,True,False
160,CNc1ncc(F)c(Nc2cc(F)ccc2F)n1,0,True,0.88,2.25,0.45,True,False
161,COc1cc(Nc2ncc3c(n2)NC2=C(C=CCC2)C3c2cc(F)ccc2F)cc(OC)c1,0,True,0.52,3.52,0.5,True,False
162,COc1cc(Nc2ncc(F)c(-c3c[nH]c4ccccc34)n2)cc(OC)c1OC,0,True,0.5,2.37,0.58,True,False
163,Cc1cc(Cl)c(NC(=O)N2CCCC(Nc3ncc(F)c(-c4c[nH]c5ccccc45)n3)C2)cc1C,0,True,0.32,3.09,0.37,True,False
164,COc1ccc(NC(=O)c2c(C(N)=O)n(C)c3c2CCc2cnccc2-3)cc1,0,True,0.73,2.6,0.16,True,False
165,O=S(c1ccccc1Nc1nc(Nc2ccc3c(c2)NC(=O)C3)ncc1F)C1CCCC1,0,True,0.51,3.38,0.71,True,False
166,Cc1cc(C)c(C=C2C(=O)Nc3ccccc32)[nH]1,0,True,0.74,2.39,0.8,False,True
167,Cc1cc(Nc2nccc(C(F)(F)F)n2)cc(-c2cnn(CCO)c2)c1,0,True,0.73,2.58,0.51,False,True
168,Cc1cccc(C)c1C1=NCc2cnc(Nc3ccc(C(=O)N4CCN(C)CC4)cc3)nc2-c2ccc(Cl)cc21,0,True,0.34,2.76,0.64,True,False
169,N#Cc1ccc(F)c(Cn2ccc(-c3ncnc4[nH]ccc34)cc2=O)c1,0,True,0.62,2.69,0.53,True,True
170,Cc1ncc(-c2cnc3[nH]cc(C4=CCOCC4)c3c2)s1,0,True,0.78,3.03,0.56,True,True
171,O=C1CCCc2[nH]c(-c3ccncc3)c(Nc3cccc(C(F)(F)F)c3)c21,0,True,0.65,2.64,0.38,True,False
172,O=C1NC(=O)C(c2c[nH]c3ccccc23)=C1c1c[nH]c2ccccc12,0,True,0.49,2.33,0.95,False,False
173,c1ccc(C(C2CC2)N2CCCC(c3ccnc(NC4CCC4)n3)C2)cc1,0,True,0.8,3.28,0.5,True,False
174,COc1ccc(-c2nn(C3CCCC3)cc2-c2ccnc(N)n2)cc1OC,0,True,0.74,2.47,0.33,True,False
175,O=C(NC1CC1)c1ccnc(Nc2cccc(Cl)c2)n1,0,True,0.91,2.02,0.61,True,True
176,CC(COc1ccccc1)C(=O)Nc1ccc2ncnc(N)c2c1,0,True,0.75,2.51,0.26,True,False
177,CC(=O)C(C)NC(=O)c1ccc(-c2c(-c3ccc(C)cc3)nc3n2C(CNC2CC2)CC3)s1,0,True,0.52,3.58,0.14,True,False
178,C=C(C(N)=O)c1c[nH]c2ncc(-c3ccc(F)cc3)cc12,0,True,0.72,2.48,0.58,True,True
179,CC(N)C(=O)Nc1ccc(-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)cc1,0,True,0.57,2.63,0.75,False,False
180,COc1cc(C=C2C(=O)Nc3ccccc32)ccc1OCc1ccc(Br)cc1,0,True,0.54,2.07,0.57,True,False
181,C=CCn1c(=O)ccc2cnc(Nc3ccc(F)c(F)c3)nc21,0,True,0.75,2.42,0.66,True,True
182,COCC(C)Nc1nc(Nc2ccc(C)cc2)c2ncn(C(C)C)c2n1,0,True,0.67,2.92,0.43,True,False
183,CN(C)C(=O)c1ccc(-c2c[nH]c3ncnc(N4CCOCC4)c23)cc1,0,True,0.78,2.42,0.67,True,True
184,COc1ccccc1-c1c[nH]c2nccc(OC)c12,0,True,0.78,2.16,0.44,True,False
185,NC(=O)C(Cc1ccccc1)NC(=O)c1cccc2[nH]c(-c3ccncc3)nc12,0,True,0.47,2.64,0.5,True,False
186,CCN1CCC(c2cc(NC(=O)c3cnn(C)c3C(F)F)cc(F)c2OC)CC1,0,True,0.78,2.73,0.07,True,False
187,COc1ccc(NC(=O)c2ccc(Nc3nccc(C4CC4)n3)cc2)cc1OC,0,True,0.62,2.08,0.57,True,True
188,CC(C)(C)c1n[nH]c2cc(F)c(-c3cncc(C(=O)NC4CCCNC4)c3)cc12,0,True,0.63,3.28,0.47,True,False
189,COC(=O)c1cccc(Nc2ccnc(Nc3ccc(N4CCCC4)cc3)n2)c1,0,True,0.61,2.13,0.69,True,True
190,Cc1ccc(Nc2ncc(C(F)(F)F)c(Nc3ccccc3F)n2)cc1C,0,True,0.57,2.22,0.73,True,False
191,COc1cc(C(=O)Nc2ccnc3[nH]ccc23)cc(OC)c1OC,0,True,0.75,2.15,0.4,True,False
192,CN(C)C(=O)c1ccc(C2CCCN(c3nc(-c4ccncc4)cc(=O)n3C)C2)cc1,0,True,0.65,2.89,0.58,True,True
193,CC1CCN(c2ccnc(Nc3cccc(Cl)c3)n2)C1,0,True,0.93,2.54,0.63,True,True
194,Cc1ncc(-c2nc3c(NC4CC4)nccc3[nH]2)cn1,0,True,0.76,2.64,0.44,True,False
195,Cn1cc(Nc2ncc(F)c(NCC3CCCO3)n2)cn1,0,True,0.87,3.02,0.59,True,True
196,COc1ccc(Nc2ncc(F)c(NC(C)C(C)(C)CO)n2)cc1OC,0,True,0.66,2.99,0.67,True,True
197,CC(C)n1c(=O)c2cnc(Nc3ccc4c(c3)CNCC43CC3)nc2n1-c1cccc(C#N)n1,0,True,0.49,3.81,0.59,True,False
198,CC(C)Cn1nc(-c2ccccc2)c2c(N)ncnc21,0,True,0.79,2.21,0.61,True,True
199,O=C(Cc1ccccc1)N1CCN(c2nc(-c3ccncc3)cc(=O)n2-c2ccc(F)cc2)CC1,0,True,0.45,2.37,0.43,True,False
200,COc1ccc(Nc2ncc(F)c(NC3CCCC3)n2)cc1,0,True,0.88,2.04,0.67,True,True
201,CN(C)S(=O)(=O)CC(=O)N1CCc2ccc(Nc3ncc(F)c(NC4CCC(F)(F)CC4)n3)cc2CC1,0,True,0.56,3.07,0.61,True,False
202,CCN(CC)CCNc1nc(Nc2cccc(F)c2)c2cc[nH]c2n1,0,True,0.58,2.48,0.34,True,False
203,Cc1cccc(Nc2nccc(C(=O)NCCc3ccccc3)n2)c1,0,True,0.72,1.92,0.48,True,False
204,Cc1ccc(Nc2nccc(C3CCCN3Cc3ccc(C#N)cc3)n2)cc1C,0,True,0.67,2.82,0.65,True,True
205,COCCCNc1nc(Nc2ccc(N3CCCCC3)cc2)ncc1C(F)(F)F,0,True,0.62,2.35,0.67,True,True
206,CCN1CC2CC1CN2c1ccnc(Nc2ccccc2)n1,0,True,0.94,3.78,0.44,True,False
207,Cc1nc2nccc(-c3cncc(F)c3)c2nc1N,0,True,0.72,2.72,0.41,True,False
208,CC(C)n1cc(Nc2ncc(Br)c(NC(C)C(C)(C)O)n2)cn1,0,True,0.71,3.32,0.72,True,True
