mid,smiles
113,COC1=CC=CC=C1C(C)NC1CCC(C(F)(F)F)CC1
114,O=C(CC1CC1)N1CCCC1C1=CC=CC(C2=CC=CC=C2Cl)=N1
115,CCCC1=NC=C(C2=CC=C(C(C)C)C=C2)C(C(=O)O)=N1
116,COC1=CC=CC=C1C=NNC1=CC=CC(C(=O)[O-])=C1
117,O=C(C(Cl)C1=CC=CS1)C(F)(F)F
118,CC(C1=CC=C2C=CC=CC2=C1)C(C)(C)C(=O)O
119,CC1=CC(C(C)O)=CC=C1OCC1=CC=C(F)C=C1Cl
120,CN(C)S(=O)(=O)CC1COCC1NC(=O)C1=CC=CC2=CC=CC=C21
121,N#CC1=CC=C(CC2=NC=C(CC3=NC4=CC=NC=C4N3)N2)C=C1
122,CC1(C(=O)O)CSC(C2=CC=C(OCCOC(F)(F)F)C=C2)=N1
123,COC1=CC=C(C(=O)C2=CNC3=CC(C)=CC=C32)C=C1F
124,COC1=CC=C(Cl)C=C1C(=O)C1=CC=C(F)C=C1F
125,CC(C)OC(=O)C1(COC(=O)NC2CCC3=C(C2)OC(C2=CC=CC=C2)=N3)CC1
126,CC1=C(C)SC(CC2(O)CC(C)CC(C)C2)=N1
127,CC(C)(C)C1=CSC(C2CCN(C(=O)C3CCCN3)CC2)=N1
128,CC(=O)CCC(O)C(C)(C)C#CC1=CC=CC=C1
129,CC(=O)C1=C(C)N=C(C2=C(C)OC=C2)S1
130,CCC1=C(C)C=C(C2=CC=C(F)C=C2)C2=C1C(=O)C(I)=C(C)N2
131,COC(=O)C1=CC=CC(COC(=O)C2=CC=C(Br)C=C2)=C1
132,CC(=O)CC1=CC=CC(Br)=C1B1OC(C)(C)C(C)(C)O1
133,CCCC1=CC(=O)OC2=C(C(=O)C(C)CC)C(O)=CC(O)=C12
134,C=CCC(NC(=O)COC1=CC=C(C)C=C1C)C(=O)OC
135,O=C(C=CC1=CC=CC=C1)NC(CO)CC1=CC=CC=C1
136,C=C(CC)N1CCCC1=O
137,C=C(C)C1=NC(C(C)=O)=C(C(=O)OCC)N=C1Cl
138,O=C(O)CCC1=C2C(I)=COC=C2C2=CC=CC=C21
139,CC1(C(=O)O)CCCCC1NC(=O)C=CC1=CC=C(Br)C=C1
140,CCC1=CC=C(NC(=O)CSC2=CC(OC)=CC=C2OC)C=C1
141,CC1=CC=C2N=C(C3=CC=C4C=CC=CC4=C3)N(O)C2=C1
142,CC1=C(CNC2=CC=C(OC(F)F)C=C2)OC=C1
143,COC(=O)C(C)N1C(=O)SC(=CC2=CC=C(C#N)C=C2)C1=O
144,CN(C)CC(C#N)C1=CC=CC=C1
145,O=C(O)C1=CC(OC(=O)C2=C(F)C(F)=C(F)C(F)=C2F)=CC=C1O
146,O=C(O)CCC(=O)OCCCC1=CC2=CC=CC=C2N1S(=O)(=O)C1=CC=CC=C1
147,COC1=CC=C(C(C#N)NC2CCCCCC2)C(OC)=C1
148,C=C(C)C1=CC=C(OCC(F)F)C=C1F
149,CC1=CC=CC(C)=C1OCC(C)N
150,O=C(O)CCCOC1=CC=C2C(=C1)CCC2NCC1=CC=CC(C(F)(F)F)=C1
151,CCCCC1=NC=C(C2=CC(C)=NC(C)=N2)C=C1C#CC1=CC=C(OC)C=C1
152,CCCC1=CC=C(OC2=CC(Br)=CC=C2CC(C)N)C=C1
153,CN(CC1=CC=C(F)C=C1F)S(=O)(=O)CC1=CC=CC=C1
154,O=C(O)CC1(C2=CC(Cl)=C(O)C(F)=C2F)CC1
155,CC1=C(Cl)C=CC=C1S(=O)(=O)N1CCCC(OC2=NC=CC=N2)C1
156,C=CCOC1=CC=CC=C1OCC(O)C1=CC=CC=C1
157,CC1=CC(=O)C=C(CC2=CC=CC=C2)O1
158,CNC(CC1=CC=C(F)C=C1C)C(C)(C)S(C)(=O)=O
159,CC(C1=CC=C(Cl)C=C1)C(CNS(=O)(=O)C1=CC=CC=C1)C1=CC=CC=C1
160,CC(C)C(=O)CCCCCOC1OC(CO)C(O)C(O)C1C
161,CC1=CC=C(O)C(S(=O)(=O)N2C3=CC=CC=C3SC2C)=C1
162,CCCC1CCC(CN)C(C2=CC=C(C)S2)C1
163,CC(=O)C1=CC=CC(OCC(=O)OCC(=O)C2=CC=C3OCCOC3=C2)=C1
164,CC(=O)OC1=CC=CC(C(=O)NC2=CC=CC(CNC(=O)C3=CC=C(Br)O3)=C2)=C1
165,CSC1(CNC2CC2)CCC1
166,CC(NC(=O)OC(C)(C)C)C1(O)CCC2=CC=CC=C2C1
167,COC1=CC=C(C2=CC=C3C(C2)OCC(N)C3O)C=C1F
168,CC1=C(C)SC(NC2=NC=NC3=CC=C(OC4CCNCC4)C=C32)=C1
169,CC1=CC=C(C)C(C(C)NC(=O)C2=CC=C(S(=O)(=O)C(C)C)C=C2)=C1
170,CC1=C(CNC2=CC(=O)NC(C3CC3)=N2)SC=C1
171,CCCC1=C(C2=CC3=CC=CC=C3O2)SC(C#N)=C1N
172,CC1(C)C(=O)C(=C2C(C)(C)C2(C)C)C(=O)C1(C)C
173,CC1=CC=C(C(=O)O)C(C(C)(C)O)=C1
174,CC1(C)C=CC=C(C2=CC=C3C=CC=CC3=C2)C=C1
175,COC1=CC=C2C(=C1)C1=CC(OC)=C(OC)C=C1C1=C2CC2CCCN2C1
176,CC1=CC=CC=C1N(CC(=O)NC(C)(C)C)S(C)(=O)=O
177,CCOC1=CC=C(C(=O)N(C)CC2=CC=CC(F)=C2)C=C1OCC
178,CC1=C(C)N(CC(C)C)C2=C(OCC3=CC=C(C(F)(F)F)C=C3)C=CN=C12
179,CC1=CC(C)=NC(C2=CC=CC=C2C(C)C)=C1
180,CCC(=O)CCC(O)C(C)CCO
181,CC(C)(C)OC(=O)NCCCCOC(C)(C)O
182,CC1=C2C=NC=CC2=CCC1
183,COC1=CC=C(C2=CN=C3CC4CN(S(=O)(=O)C5=CC=C(OC)C=C5)CC4CN23)C=C1
184,COC1=CC=CC=C1C(C)NC(C1CC1)C1CC1
185,COC1=CC=CC=C1C(C)NC(C1CC1)C1CC1
186,CC1=CC=C(CC(C)C)C([N+](=O)[O-])=C1
187,O=C1NC(=O)N(CC2=CC=C(OC3=CC=CC=C3F)C=C2)NC1=O
188,CCOC1=CC=C2C(=C1)C=CN2CCCCOC1=CC=CC(C)=C1
189,CC(=O)C(C(=O)C1=CC=CC(C)=C1)=C1SCS1
190,C1=CC=C2C(=C1)C=CC=C2OCCOCCC1CCCCN1
191,CCN(CC)S(=O)(=O)NCC(C)SC
192,O=C(O)C1=CC(=O)C2=CC(OC3=CC=CC=C3)=CC=C2O1
193,CC1=C(Br)C(C(F)(F)F)=NN1C(C)C(=O)NC1CC1
194,COC1=CC(C=CC(=O)O)=CC=C1S(=O)(=O)C1CNCCN1
195,CNC(=O)CC(C)NCC1=CSC=N1
196,CCC(N)CC(=O)OC1CCCC2=CC=CC=C21
197,COC1=CC=C(C(=O)C2=CC(Cl)=CC=C2F)C=C1
198,CCCC1=C(OCC2=CC=C(F)C=C2)C(C(=O)OCC)=C(CC)N1
199,O=C(O)C1=CC=C(CSC2=NC3=CC=CC=C3S2)C(Cl)=C1
200,CC(C)C1=C(F)C=CC(I)=C1F
201,COC1=CC=C(C=CC(=O)NC2=CC(C)=CN=C2Cl)C=C1
202,CC1=C(C(=O)N(C)CC2=CC=CC(F)=C2)SC2=C1C(=O)NC(CN(C)C)=N2
203,COC1=CC=C(C(Br)CC2=C(F)C=CC=C2F)C(C)=C1
204,CCC(C)(C(N)=O)C1=CC=C(OC)C=C1
205,CC(=O)N1CC(=C(C)C)C1=O
206,COC1=C(Br)C=C2OCOC2=C1C1(CN)CCCC1
207,CNC1=CC=C(S(=O)(=O)NC(C)C2=CC=C(OC)C=C2)C=C1
208,CC1=CC=CC(OCC(=O)NC2=CC=C(OCC3CCCO3)C=C2)=C1C
209,CC(=O)C1=C(O)C(=O)N(CC2CCCO2)C1C1=CC=C(Cl)C=C1Cl
210,COC(=O)CC(O)CC(O)C=CC1=C(C2=CC=C(F)C(C)=C2)CCCC1(C)C
211,CCCC1=C(CC)CC(C)(C)CC1
212,COC1=CC=C(C(O)(C(=O)OC(C)(C)C)C2CCNCC2)C=C1
213,CC1=CC=C2C=C(CCNS(=O)(=O)NC(=O)OC(C)C)C=CC2=C1
214,CN1CCN(C2=CC=C(NC3=CC=C4C=CC(=O)C5=C4C3=CC=C5)C=C2)CC1
215,O=C(C1=CC=C(Cl)C(Cl)=C1)C1OC1C(O)C1=CC=C(Cl)C(Cl)=C1
216,O=C1C=C(C(=O)O)OC(C(=O)NC2=CC=C(F)C=C2Cl)=C1
217,COC1=CC=C(C2(C(CO)C(C)C)COC2)C=C1Br
218,CC(C)(C)OC(=O)N1CC=CC2=CC3=CC=CC=C3C=C21
219,CCC(C)(CC(=O)OC)NCC(=O)OC
220,O=C(CSC1=NN=C(C2=CC=C(F)C=C2)O1)NC1=CC=CC(Cl)=C1
221,CCCNC(COC(C)C)C1=CC=CC=C1C(F)(F)F
222,O=C(NCC1=CC=CS1)C1=CC=C(OC2CCSC2)N=C1
223,COC1=CC=C(OC(=O)N2CCC3=C(C2)N=C(C(C)C)N=C3N2CCOCC2C)C=C1
224,CC1=CC=C(S(=O)(=O)N2CC3=C(C)C(C4=CC=CC=C4)=C(P(C)(=O)C#CC4=CC=CC=C4)C(C)=C3C2)C=C1
225,CC(=O)C1=CC(=O)C=CC12OC(=O)C(I)=C2C1=CC=CC=C1
226,CCN1C2=CC(OC)=C(C=NC3=CC=CC(OC)=C3)C=C2C(C)=CC1(C)C
227,O=C(O)C1=CN=C(C=CC2=CC=CC=C2Cl)S1
228,COC1=CC=C(C(=O)N2CC3=CC=CC(Br)=C3CC2C(=O)O)N=N1
229,O=S1(=O)CCC(S(=O)(=O)C2=CC=CC(S(=O)(=O)Cl)=C2)C1
230,COC1=CC=C(CC(C)C(C)NC2CC2)C=C1OC
231,CCCCCC(C)(CC)C1=CC(C(C)(C)C)=CC(CCC)=C1O
232,CC1(C)CCC(N)(C2=CC=C(Cl)C=C2F)C1
233,COC1=CC=CC(CNC(=O)C2=C(C)N=C3SC(C)=CN32)=C1
234,CCOC(=O)C(C#N)=C(SC)N(C)C
235,CC1=CC(F)=CC=C1CNC1=CC=CC(OC(F)F)=C1
236,CC(=CC1=CC=C(Br)S1)CC1COCCN1
237,CN(CC1CCCC1)S(=O)(=O)C1=CC=CC(S(=O)(=O)F)=C1
238,CC1=CC(C(Br)C2=CC=C(F)C(F)=C2)=CO1
239,O=C(CSC1=NC2=CC=CC=C2O1)NCC1=CC=C(F)C=C1
240,O=C1CC(S(=O)(=O)O)CC2=C1C=C(O)C1=CC=CC=C12
241,COC1=CC=C(C(NCC2=C(OC)N(C)N=C2C)C2CC2)C=C1
242,CN(CC1CCCO1)S(=O)(=O)C1=CC=CC(S(C)(=O)=O)=C1
243,COC1=CC=C(S(=O)(=O)NCC(F)(F)F)C=C1
244,CC1CCCC(=O)C1C1=CC=CC=C1
245,CC1=NC(Cl)=CC=C1C(=O)OC(C)C
246,CCC(C)(CC#N)CC#N
247,COC1=CC=C(Br)C(CC(=O)C2=CC(F)=CC(Br)=C2)=C1
248,CC(C)(C)C1=CC=CC=C1OC1=CC=CC(Cl)=C1C#N
249,O=C(O)C1=CC=C(Cl)C(C2=CC=CN=C2)=C1C1=CC=CC=C1
250,CC1=CC=C(C(=O)N2CCC(C(C)O)C2)C=C1O
251,COC1=CC=CC=C1NC(=O)C1=CC(OC(C)=O)=CC(C(=O)NC2=CC=CC=C2OC)=C1
252,COC(=O)CC1CCN(C2=NC3=CC=CC=C3N2)C1(C)C
253,COC1=CC=C(C2=C(C(=O)C(=O)NC3=CC=C(F)C(F)=C3)N3C=CC=CC3=C2)C=C1
254,CC1=CC=C(NC(=O)C(=CC2=CC=C(O)C=C2)NC(=O)C2=CC=C(Cl)C=C2)C=C1
255,CC(C)(C)OC(=O)N(CCNCC1=CC=CC=C1)C1CC1
256,CC(C)CN(CC(C)C)C1=CC=C(C(N)=S)C=C1
257,CC1=CC=CC(C(=O)CCCC(F)(F)F)=C1
258,CC(NC(=O)C1=CC=CC(OC(F)F)=C1)C1=NC2=CC=CC=C2N1
259,COC1=CC=C(CN2C(C)=C(C)C3=CC=NC(OCCN4CCCC4=O)=C32)C=C1
260,COC1=CC=C(OC)C(C=CC(=O)OCC(=O)NC2=CC=C3OCCCOC3=C2)=C1
261,COC1=CC(C(=O)NC(CC(C)C)C(=O)O)=CC=C1OC(F)F
262,CN1CC(C)(O)C(C)(C)C1CC1=CC=CC=C1
263,CN(C)CC1=CC(F)=CC=C1SC1=CC=C(C#N)C=C1N
264,O=C(C1=CC(Br)=C(Br)S1)C1CCSC1
265,COC(=O)C=CC1=CC=C(OC2CC3=CC=CC=C3C2)C=C1
266,CCC1=CC=C(C2=CC=C(C3=CC=C(N)C=C3)C=C2)C=C1
267,CCOC1=CC=C2C(=C1)CCNC2C(=O)NC1=CC(F)=C(C(C)(C)COCC(F)F)C(F)=C1
268,C=CCCCOC1=CC=CC(CNC(C)C)=C1
269,CC(C)CC1CC(C(=O)N2CCCC2C2=CC=CS2)NN1
270,CC(NC(=O)C(C)OC1=CC=CC=C1)C1=CC=C(C(C)(C)C)C=C1
271,CC1CC=CCC1C1OCCO1
272,O=C(O)CCC1=CC=CC=C1CCCCCI
273,COC1=CC=C(C(C)C)C=C1C=CCCCCCOC(C)(C)C
274,COC1=CC=CC=C1C(CNS(=O)(=O)N(C)C(C)C1CC1)N(C)C
275,CCN1C(=O)C(=CC2=CC=C(O)C(OC)=C2)SC1=NC1=CC=C(C(=O)OC)C=C1
276,O=CC1=CC=C(OC2=CC=CC(Cl)=C2Cl)C=C1C(F)(F)F
277,CC(C(=O)N1CCCCC1)N1C(=O)C2=CC=CC=C2C1C1=C(C2=CC=CC=C2)N(C)C2=CC=CC=C21
278,CC1=CC=C(C(=O)C2=CSC(C)=N2)O1
279,CCC(C)(C)CNS(=O)(=O)C1=CC=C(C#N)S1
280,CC1=CSC=C1C(Br)C1=CC2=C(C=C1Br)NC(=O)N2
281,C=CC1=CC(C)=CC2=C(C=C)C=CC=C12
282,COC1=CC(C(=O)NC2=NC(C3=CC=C4OC(C)C(=O)NC4=C3)=CS2)=CC(OC)=C1OC
283,CCCC1CCCC(NCC(CC)CC)CC1
284,CCOC1=CC=C(CNCC(C)C)C=C1OC
285,O=C(CC1C=CCC1)NCCC1=CC(Cl)=CC(Cl)=C1
286,CC1=CC=C(OC2=CC=C(S(=O)(=O)N(C)C3CCNC3)C=C2)C=C1
287,CC(C1=C(C2=CC=C(F)C=C2)C(N)=NO1)C1CC1
288,O=C(CCC1=CC=C2C=CC=CC2=C1)NCCC(O)C1=CSC=C1
289,CCC1=CC=CC=C1OCCOC1=CC=C(CCN)C=C1C(F)(F)F
290,CN(CCNCC1=CC(Cl)=CC=C1O)C1CC1
291,N#CC1=CC=CC(CC(NC(=O)C2=CC=C3N=C(C4=CC=NC=C4)NC3=C2)C(N)=O)=C1
292,CC1=C(C)SC(CC(O)C2CCCN2)=N1
293,CC1=CC(C)=C(C)C(S(=O)(=O)NC(CCO)C(=O)O)=C1C
294,CCC1=CC2=C(C=C1C#CC1=CN=C(OC(C)C)S1)C(C)(C)C(C)C2(C)C
295,CC(C)=C1CC(C)(C)C2=CC3=C(C=C2C1=C1SC2=C(CCCC2)S1)OCO3
296,C=C(C)C(=O)OCC1=CN(C2=CC=C(C(=O)C=CC3=CC=C(OC)C=C3)C=C2)N=N1
297,CNC1C(S(=O)(=O)CC(C)C)CCCC1(C)C
298,CCCC(=O)C1=CC(O)=C(O)C=C1O
299,CCOC(=O)C1=C(NC(=O)C=CC2=CC=C(OCC)C=C2)SC=C1C1=CC=C(C)O1
300,COC1=CC=C(C)C=C1CC(=O)C1=CN=CC(F)=C1
301,CC1=CC(C(C)NCC(O)C2=CC=CC(OC(C)C)=C2)=C(C)O1
302,CCNC1=CC(S(=O)(=O)CC)=CC=C1N
303,CCC(C)(C)C(=O)C1=CC(Br)=CC=C1OC
304,COC1=CC=C(C=C2N=C(C3=CC(C)=CC(C)=C3)OC2=O)C=C1OC(F)F
305,CCOC1=CC=C(NC2=CC=CC=C2)C=C1
306,COC1=CC=C(CC2(N)CCC(C)C2)C=C1
307,CC1=CC=C(S(=O)(=O)N2CC3(C2)OC(CO)C(O)C3O)C=C1
308,CC(C)COC1=CC=CC(C(=O)NCC2=CC=C(C(=O)O)S2)=C1
309,CC(C)NC(C)(C#N)CC(C)OC1=CC=CC(Cl)=C1
310,COC1=CC(C=NNC(N)=O)=CC=C1OC(=O)C1=CC=CS1
311,COC1=CC=CC=C1C1=CSC2=NC(NC(=O)CC3=CC=CS3)=NN12
312,CC(C)N1CC(=CC(=O)NC2=CC=CC3=S)C(=O)C2=C1
313,CC(C)CCNC(=O)C1=CC=C(CSC2=CC=CC=N2)O1
314,CC1=CC=C(O)C=C1C1=CC=CC(C(=O)O)=C1
315,CC1=CC=C(OC(C)C(=O)NCC2=CC=CC(C(N)=O)=C2)C=C1C
316,CCC1=CC=CC(C(=O)NCC(=O)C2=CC=C(C)C=C2)=C1
317,CC(C)C(C(=O)OC1CCOCOCCOC(=O)C(C)C)C(C)C
318,CC(C)OC1=CC=C(S(=O)(=O)NCCC2=CC=CC(F)=C2)C=C1
319,O=C(COC1CC1)N1CC2=CC=NN2C(CN2CCCC2)C1
320,CC1=CC=C(C(=O)N2CC3(CC(OCC4CC4)CCO3)C2)C=C1
321,COC1=CC=CC=C1C1=CC2=CC=CC=C2N1
322,CCNC(CC1=CC=NC=C1Cl)C1=C(C)C=CO1
323,CC(C)(C)OC(=O)C1(SC(F)(F)F)CC2=CC=C(Cl)C=C2C1=O
324,CC1CC2=C(CN1)OC(C1=CC=CC=C1)=N2
325,CC(=O)N(C1=CC=CC(C(F)(F)F)=C1)C1=CC=NC(=O)C1
326,CCC(C)(C)C1=CC=C2OC(C(C)C)=NC2=C1
327,CC1=CC(C)=CC(OCCNC(=O)CCC2=CC=C(S(=O)(=O)N3CCOCC3)C=C2)=C1
328,CC1=CC(OC(C)C(=O)NCCSC2=CC=CC=C2)=CC(C)=C1Cl
329,OCC1=CC=CC=C1
330,CCOC(=O)C1=CSC(NCCCS(C)=O)=N1
331,C=CCN(C(=O)C1=CC=C(CSC(C)=O)O1)C1=CC=CC=C1
332,CC(C)(C)C1=CC(OCC2=CC=CC=C2)=CC(C(=O)O)=C1OCC1=CC=CC=C1
